Day fraction since midnight on 12/21/2020	7 kPa (cm)	pH probe (pH)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q settled bulk pump (mL/s)	Q Raw (mL/s)	Q removed (mL/s)	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Turb influent  ()	Scale ()	PC1 & 2 pump #2 ()
0.00314615	35.90391922	6.99605417	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.27048501	2.64710426	0.85714286	10789.47153	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.35986999	0.00000999	-3.69687E+19	-0.00000001	0.00000999	2.90254E+16	0.00000999	101.29245	518.3	0.83181818
0.00320401	35.91180801	6.99613476	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.27048501	2.64710426	0.85714286	10793.69312	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.35986999	0.00000999	-3.69687E+19	-0.00000001	0.00000999	2.90254E+16	0.00000999	101.4386063	518.3	0.83181818
0.00326189	35.85440445	6.99610138	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.25104642	2.64710999	0.85714286	10798.10642	0	0	0	0	0	0	44	101	0	1012	388	228	26	2	3	98	100	1661	0.02718573	0.03089882	93.1639328	101.5926437	518.2	0.83181818
0.00331975	35.82867813	6.99608612	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.25104642	2.64710999	0.85714286	10802.72959	0	0	0	0	0	0	44	101	0	1012	388	228	26	2	3	98	100	1661	0.02718573	0.03089882	93.1639328	101.5470352	518.2	0.83181818
0.00337763	35.85116577	6.99592447	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.26196331	2.59585094	0.85714286	10807.14489	0	0	0	0	0	0	44	101	0	1012	388	228	26	2	3	98	100	1661	0.02718573	0.03089882	93.1639328	101.5939179	518.2	0.83181818
0.00343551	35.873806	6.99619436	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.28545088	2.59585094	0.85714286	10815.20595	0	0	0	0	0	0	44	101	0	1012	388	228	26	2	3	98	100	1661	0.02815114	0.03134161	93.06900024	101.6437149	518.2	0.83181818
0.00349337	35.901474	6.99611855	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.28545088	2.76229358	0.85714286	10819.42736	0	0	0	0	0	0	44	101	0	1012	388	228	26	2	3	98	100	1661	0.02837537	0.03158946	93.01590729	101.712265	518.1	0.83181818
0.00355125	35.84267044	6.9961381	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.28545088	2.76229358	0.85714286	10824.03454	0	0	0	0	0	0	44	101	0	1012	388	227	25	2	4	98	100	1661	0.02837537	0.03158946	93.01590729	101.6264954	518.1	0.83181818
0.00360911	35.87765503	6.99610281	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.28545088	2.65047908	0.85714286	10828.06408	0	0	0	0	0	0	44	101	0	1012	388	227	25	2	4	98	100	1661	0.02837537	0.03158946	93.01590729	101.5625992	518.1	0.83181818
0.00366699	35.8568573	6.99602127	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.35153225	2.56754208	0.85714286	10832.49736	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	44.00000999	101.00001	0.00000999	1012.00001	388.00001	227.00001	25.00000999	2.00000999	4.00000999	98.00000999	100.00001	1661.00001	0.02837999	0.03158999	93.01590999	101.5364456	518	0.83181818
