Day fraction since midnight on 2/21/2021,2-3 μm,3-5 μm,5-9 μm,9-17 μm,17-33 μm,33-65 μm,Turb settled w/ blanket ()
1.565408199,213.2424242,104.4444444,66.14141414,8.525252525,1.191919192,1.747474747,0.203230693
1.571195271,208.92,101.68,65.14,8.83,1.4,1.94,0.213077645
1.576982339,204.34,100.68,64.83,8.57,1.3,1.75,0.206393094
1.582769404,201.99,99.08,63.5,8.18,1.17,1.91,0.197420339
1.588556468,204.1313131,101.6767677,64.50505051,8.464646465,1.212121212,1.828282828,0.204609254
1.594343532,211.3535354,104.0909091,66.16161616,9.333333333,1.757575758,2.47,0.214370504
1.600130595,214.84,105.54,67.45,9.34,1.5,2.11,0.210348862
1.605917657,214.23,105.91,68.32,8.62,1.11,1.74,0.210462086
1.611704719,213.2424242,104.8989899,66.45454545,8.313131313,1,1.79,0.208672708
1.617491777,213.040404,105.8787879,67.94949495,8.858585859,1.626262626,2.09,0.218483129
1.623278838,217.4387755,107.8061224,69.64285714,10.01020408,2.204081633,2.606060606,0.2255892
1.629065895,212.32,105.91,67.35,9.57,1.65,2.43,0.218958283
1.634852951,206.5208333,102.25,65.15625,8.739583333,1.322916667,2.041237113,0.199416647
1.640640009,207.49,103.5,66.57,9.12,1.33,2.25,0.207575591
1.646427063,214.2222222,105.5050505,69.17171717,9.616161616,1.919191919,2.171717172,0.216577744
1.652214116,217.45,108.31,70.41,9.83,1.9,2.12,0.218390702
1.658001172,202.7628866,99.90721649,63.48453608,8.371134021,1.257731959,2.103092784,0.242530373
1.663788226,185.83,93.57,58.88,7.99,1.27,2.13,0.208530475
1.669575279,181.93,89.96,57.68,8.15,1.54,2.27,0.209385157
1.675362327,180.74,89.63,57.52,8.62,2.19,2.71,0.22870421
1.681149368,177.62,89.25,57.52,8.83,2,2.18,0.223303897
1.686936518,181.45,90.37,58.29,8.32,1.52,2.06,0.205814651
1.692723837,189.05,93.99,62.11,9.45,2.32,2.4,0.236084024
1.698511142,188.8181818,94.4040404,60.94949495,8.565656566,1.717171717,2.575757576,0.230850482
1.704298432,186.75,92.8,60.64,8.51,1.92,2.57,0.230433164
1.710085709,186.010101,92.82828283,59.54545455,8.04040404,1.303030303,1.99,0.210849051
1.71587298,192.4646465,95.84848485,60.75757576,7.939393939,1.303030303,1.94,0.213501221
1.721660262,191.63,95.68,61.16,8.03,1.15,1.9,0.212395823
1.727447529,190.99,94.96,62.16,8.62,1.45,1.98,0.211752874
1.733234787,191.3535354,94.98989899,61.45454545,8.858585859,1.727272727,2.232323232,0.264269945
1.739022029,206.88,104.68,73.85,17.35,6.46,4.32,0.27825545
1.744809259,215.9191919,112.1919192,83,23.15151515,9.353535354,4.77,0.303612794
1.750596478,208.29,106.61,75.08,16.35,5.2,2.79,0.265319986
1.756383685,199.5,99.83,67.69,11.98,3.25,2.2,0.223148349
1.762170883,201.5959596,100.3434343,67.84848485,11.8989899,3.131313131,2.242424242,0.229826723
1.767958073,206.2755102,103.5,67.43877551,9.887755102,1.836734694,2,0.202202879
1.773745253,218.73,108.69,70.57,9.97,1.33,1.95,0.199096754
1.779532425,231.6969697,117.6565657,79.76767677,12.09090909,1.4375,1.89,0.377285578
1.78531959,228.1938776,113.1530612,73.2755102,9.397959184,1.326530612,1.949494949,0.217185701
1.791106746,226.05,111.63,71.76,9.18,1.25,2.15,0.222780238
1.796893902,225.47,111.11,70.4,9.21,1.19,2.03,0.210385337
1.80268111,220.8585859,108.8181818,69.2020202,9.181818182,1.252525253,2.191919192,0.220151577
1.808468322,214.4141414,106.2727273,67.75757576,8.636363636,1.393939394,2.25,0.214469098
1.814255525,216.2020202,107.3030303,67.26262626,8.717171717,1.303030303,2.383838384,0.213951176
1.820042721,220.48,107.72,68.73,8.85,1.65,2.34,0.219860275
1.825829904,222.4848485,109.4949495,69.82828283,8.888888889,1.333333333,2.31,0.217912884
1.831617079,219.6868687,108.4343434,69.35353535,8.646464646,1.222222222,2.171717172,0.224663577
1.837404248,218.05,107.71,67.6,8.53,1.15,2.06,0.208310606
1.84319141,219.38,108.18,68.94,8.34,1.05,1.88,0.206058656
1.848978563,222.4040404,109.6969697,69.22222222,8.808080808,1.171717172,2.131313131,0.206771976
1.85476571,220.35,107.9,68.4,8.64,1.17,1.99,0.209725703
1.86055285,217.8080808,107.8080808,67.87878788,8.494949495,1.151515152,2.11,0.20857176
1.866339986,223.48,110.73,69.76,8.66,1.14,2.1,0.206653965
1.872127114,225.0606061,111.2828283,70.58585859,8.808080808,1.515151515,2.32,0.235086417
1.877914238,225.5353535,112.1717172,70.4040404,9.444444444,1.878787879,2.494949495,0.232070383
1.883701359,219.23,107.19,67.86,8.93,1.56,2.35,0.229148617
1.889488473,214.91,106.47,67.63,8.38,1.31,2.04,0.217661624
1.895275583,210.8673469,103.6428571,65.75510204,8.469387755,1.255102041,1.948979592,0.214869446
